,enhancer / silencer,log(Max enhancer / Max silencer),-log10(pvalue),pvalue,mark,sign
162,1.0628631089219578,0.06096631300695786,-0.0,0.5701884381152809,ILF3,False
118,0.9522463889159588,-0.04893146579027909,-0.0,0.6115770631133537,FUS,False
36,0.8361484554228831,-0.17894910340555062,-0.0,0.2372024182019915,CBX2,False
163,1.013253074134967,0.013166020457002476,-0.0,0.7394836588953959,ILK,False
102,1.0899570201437352,0.08613826440283422,-0.0,0.005519207036639398,ETV6,False
154,1.767588104202916,0.5696159643371809,0.32444647751015837,0.0009041120040961977,HNRNPLL,False
164,1.1685778399711224,0.15578748807214682,0.7844454152431757,0.00031348971553904617,IRF1,False
47,1.1547028560762223,0.14384304340833098,0.3877544518763196,0.000781473510060073,CGGBP1,False
83,1.0093624159616967,0.0093188601924781,-0.0,0.7448251870093283,E2F7,False
62,1.0382293626489258,0.03751672627740707,-0.0,0.3431179748201255,CSDE1,False
121,1.125918741806025,0.1185993617546839,0.23982658164470774,0.0010986064168709072,GABPB2,False
122,2.095980385783065,0.7400214084870831,0.4337235817235434,0.0007029834994310446,GATA1,False
116,1.2466624560569406,0.22046994525819444,0.5824460703518096,0.0004991403079965996,FOXP1,False
60,1.0234113391648254,0.023141497222748747,-0.0,0.22800251402234506,CREBBP,False
59,1.073512158457622,0.07093566426941326,-0.0,0.1814396759541259,CREB5,False
58,1.1331287521486477,0.12498261384959108,-0.0,0.03330295050347424,CREB3L1,False
64,0.9663451853023818,-0.03423417391689668,0.47832300393068083,0.0006343744880127405,CTCF,False
112,1.0981799586737664,0.09365422644622158,-0.0,0.019920309631795995,FOXK1,False
124,1.0917265501167361,0.08776043398338722,-0.0,0.02519674012360152,GATAD2A,False
111,0.9123241202502722,-0.09175995703439048,0.4152408319302475,0.0007335468915536504,FOXJ3,False
125,1.1723191625527432,0.15898397707886502,0.10313206798307029,0.0015050005028398325,GATAD2B,False
48,1.0816610996807696,0.07849791480052654,-0.0,0.27058677853262747,CHAMP1,False
65,0.8590574421223653,-0.1519194883112145,0.11311041225626245,0.0014708158480913342,CTCFL,False
128,0.8286473581582648,-0.18796059654502412,0.49612676897733776,0.0006088943497667875,GTF2B,False
129,1.1555140794883747,0.14454533541650244,0.5676123693711557,0.0005164833714316376,GTF2E2,False
130,1.1150371942937618,0.1088877624667098,-0.0,0.04718381870097896,GTF2F1,False
131,0.8947040352115625,-0.11126230231071164,-0.0,0.4301667810941796,GTF2I,False
54,1.1634763349077741,0.15141236398118224,0.10732447626011533,0.0014905420645532491,CLOCK,False
132,1.1365377627792117,0.127986591016883,-0.0,0.2988607539377959,GTF3C2,False
53,1.201403646373906,0.18349057853328507,-0.0,0.00617289329475509,CHD7,False
110,1.409702976923843,0.34337902753532556,0.5075061614350609,0.0005931472914538055,FOXJ2,False
51,1.3091634879783034,0.2693883744523705,1.0313134987519408,0.00017756412037157884,CHD2,False
138,0.9179937752332024,-0.08556466917635483,-0.0,0.0632771043612664,HDAC6,False
68,1.1887733998159216,0.17292201907146432,-0.0,0.12233173095924724,DACH1,False
49,1.106193225111934,0.10092459409027171,-0.0,0.005482907433066156,CHCHD3,False
127,1.1108822445532744,0.10515451453899974,-0.0,0.004418598764157438,GTF2A2,False
34,1.2141143923135933,0.1940149158040898,-0.0,0.0031566289649635456,CBFB,False
